Date|Active Users|Favorites|Total Visits|Date Created|Last Updated|Server Size|Genre|Title|Creator|gameID|Category|URL|Description
2022-07-05 01:42:06|2293|798121|262.6M+|6/14/2021|6/24/2022|12|Adventure|🍕 Eating SimulatorBy YUМ|YUМ|6953291455|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=ada58a6a-3640-43e2-9b87-80fc7444abaa&PageType=Games&PlaceId=6953291455&Position=28&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-07-05T06:42:04.526Z|SUMMER UPDATE! 🔥 USE CODE SUMMERUPDATE AND LIKE THE GAME FOR REWARDS! 🔥 🌟👍 NEW POWERFUL PET CODE AT 850K LIKES🌟👍 👍 THUMBS UP 👍 our game and join our YUM group for an EXCLUSIVE IN-GAME BOOST! 🔥 EAT FOOD TO BECOME FATTER 🔥 🌟SELL YOUR FOOD TO LEVEL UP & UPGRADE 🌟 🍕Can you be the fattest of them all?🍕
2022-07-05 01:42:06|5768|14553|1.4M+|6/30/2021|7/4/2022|8|Fighting|[UPD1⚡] Sword SimulatorBy Tachyon Games|Tachyon Games|7026949294|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=ada58a6a-3640-43e2-9b87-80fc7444abaa&PageType=Games&PlaceId=7026949294&Position=5&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-07-05T06:42:04.521Z|💖 Use the code UPDATE1 and 👍 LIKE 👍 the game for a free luck boost! 💖 👍 NEW CODE AT 10K LIKES 👍 ✨ UPDATE 1 ✨ ⚡ NEW Radioactive Wasteland Zone 🔮 New code UPDATE1 🔨 Bug Fixes ⬆️ & More! HOW TO PLAY: ⚔️ Fight with a variety of cool weapons ⚔️ 🌠 Play and collect a variety of mighty weapons 🌠 🗺️ Unlock zones and explore new breathtaking areas 🗺️ 🤝 Collect pets and trade them 🤝 🏆 Become the BEST on the leaderboards 🏆 💖 Join Tachyon Games to earn a free reward every day! 💖 https://www.roblox.com/groups/11109344/Tachyon-Games#!/about 🔔 FOLLOW and FAVORITE to keep up with UPDATES! 🔔
2022-07-05 01:42:07|3691|115949|21.8M+|6/2/2022|7/4/2022|45|Adventure|Amanda [Story]By Svardo Studios|Svardo Studios|9800759618|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=ada58a6a-3640-43e2-9b87-80fc7444abaa&PageType=Games&PlaceId=9800759618&Position=27&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-07-05T06:42:04.526Z|[UPD] HARDCORE MODE IS OUT NOW GET THE 2 NEW BADGES! Welcome to Amanda [STORY] A group of 3-10 friends have a sleepover and watch your favorite show Amanda the Adventurer! What could possibly go wrong? 🎁 Join the Svardo Studios group for free in-game Rewards! 🎁 🔊 Play with the sound up for the best experience! 🔊 ✨ Can you get all TWO endings? Play again to win both badges!✨ 👍 Be sure to like and favorite this game if you enjoyed it! ⭐ 💀 WARNING: This game has scary scenes and flashing lights. 💀 🛒 Struggling to survive? Check out the store for some helpful perks to help you survive! 🛒 tags: Amanda Amanda The Adventurer Story Roleplay Adventure
2022-07-05 01:42:07|12327|99320|23.0M+|2/1/2022|7/4/2022|50|RPG|Maple HospitalBy Marizma Games|Marizma Games|8704997000|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=ada58a6a-3640-43e2-9b87-80fc7444abaa&PageType=Games&PlaceId=8704997000&Position=9&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-07-05T06:42:04.522Z|Maple Hospital Roleplay is a highly functional and unique hospital experience designed with the help of a Licensed Nurse. We hope you enjoy the game and we would like to hear your feedback! 🏥 Earn +50% EXP if you join Marizma Games! https://www.roblox.com/groups/3763098/Marizma 🩺 - Diagnose and Treat Illnesses ⚙️ - Operate Hospital Machines and Equipment 🧪 - Conduct Wacky Experiments 🧙🏽‍♀️ - Help Nurses and Doctors 💔 - Endure Surgery as a Patient 🔍 - Discover the Secrets of Maple Hospital Press Ctrl to Ragdoll
2022-07-05 01:42:08|3670|338307|81.6M+|7/18/2021|7/2/2022|698|Town and City|Realistic Hand RP 🖐🤏 Without VR [🐟]By Blοx Universe|Blοx Universe|7117492592|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=ada58a6a-3640-43e2-9b87-80fc7444abaa&PageType=Games&PlaceId=7117492592&Position=24&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-07-05T06:42:04.526Z|You dont need VR to play as Hands! Compatible with PC mobile and console. Just go to the Options menu to become Hands Version 1.6 Update: New normal props - Fish Brain Newspaper Version 1.4 Update: Big hungry man eats all the props in front of him now Added driveable cars giant volcano washing machine Added ragdoll feature vr-headset support isnt in yet it will be later 👍 This is still an early beta so expect some bugs sometimes🐞
2022-07-05 01:42:08|2294|48568|2.9M+|5/30/2022|7/4/2022|8|All Genres|Raised By FloppaBy Hexo Studio|Hexo Studio|9771703133|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=ada58a6a-3640-43e2-9b87-80fc7444abaa&PageType=Games&PlaceId=9771703133&Position=29&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-07-05T06:42:04.526Z|👍 JOIN THE PURPLE LINK BELOW FOR EARLY ACCESS TO THE NEW UPDATE! We reached 5000 likes the next update is coming on July 10th! 🎉 👌 Raise A Floppa but its OPPOSITE DAY! 💖This is a meme game where you play as Floppa and raise a pet version of yourself to be big and strong! This is an opposite version of Raise A Floppa: • Bingus is no longer annoying! • Elder Floppa is now evil! • Humans are now raised by cats! Things in this game: Floppas Bloppas Belugas Memes Raising Elder Floppa
2022-07-05 01:42:09|5734|14392|2.1M+|2/20/2022|7/5/2022|10|All Genres|⛏️Mining Clicker SimulatorBy Spyder Crew|Spyder Crew|8884334497|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=ada58a6a-3640-43e2-9b87-80fc7444abaa&PageType=Games&PlaceId=8884334497&Position=32&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-07-05T06:42:04.526Z|Welcome to Mining Clicker Simulator! 💬 Use code 5KLIKES for a 15 minutes Super Luck boost! 👍 Next code will be announced at 10000 Likes 🔔 UPDATE 2 🔔 👹 NEW HELLS DUNGEON AREA -INCLUDES DEVIL EGG WITH SECRET PET ✨ NEW EXCLUSIVE PETS 🔍 NEW SECRET RARITY 🔨 BUG FIXES HOW TO PLAY: 🖱️ Click on your screen to mine ores 🐣 Hatch pets to earn more coins per click ⛏️ Upgrade your pickaxe to mine better ores ⏫ Break doors to get to the next area 🔁 Rebirth to get an ore pay multiplier 💎 Use gems to purchase upgrades 🔔 Follow and favorite for weekly updates!
2022-07-05 01:42:10|3271|29230|4.4M+|3/23/2021|7/4/2022|20|All Genres|[Fixed Portal]Anime World Tower DefenseBy Lazy Cat Studio|Lazy Cat Studio|6558526079|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=ada58a6a-3640-43e2-9b87-80fc7444abaa&PageType=Games&PlaceId=6558526079&Position=4&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-07-05T06:42:04.521Z|
2022-07-05 01:42:10|2097|45529|11.5M+|9/22/2021|7/5/2022|1|Sports|[Basketball park] Hoops Life [Pre-Alpha]By Hoops Life|Hoops Life|7540727946|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=ada58a6a-3640-43e2-9b87-80fc7444abaa&PageType=Games&PlaceId=7540727946&Position=26&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-07-05T06:42:04.526Z|Welcome to hoops life! A basketball game that offers new unique and distinctive features to the roblox basketball community. - Game controls are in the community server below. - Game is an active work in progress and is not finished. - Game is available to all platforms! roblox basketball gameroblox basketball goalroblox basketballroblox basketball gamesroblox basket ball#roblox basketballroblox basketball games xboxroblox basketball games 2020roblox basketball 2020 roblox basketball 2022 fun roblox basketball gamesnew roblox basketball gamescool roblox basketball gamesupcoming roblox basketball gamesroblox playing basketballroblox nba 2k18 basketballbasketball in robloxbasketballplaying basketball in robloxbest build in hoops life Hoop central RB WORLD 4 Hoops life RH2 The journey My park
2022-07-05 01:42:11|9290|35799|2.8M+|5/11/2022|7/5/2022|20|All Genres|[🎩 Limiteds!] Bid Battles (Beta) - TycoonBy Absolute Zero!|Absolute Zero!|9603033881|Up-And-Coming|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=ada58a6a-3640-43e2-9b87-80fc7444abaa&PageType=Games&PlaceId=9603033881&Position=6&SortName=Curated_103&SortPosition=2&LocalTimestamp=2022-07-05T06:42:04.521Z|NEW Limited time auctions with limited serialised items! Own your very own store tycoon in Bid Battles! Compete with players to win garage auctions and find the rarest treasures in the game. Sell your treasures in your store and grow your empire! This game is in beta testing some bugs may be expected. Please leave your suggestions and feedback on the group wall! Leave a like if you enjoyed it!
