Date|Active Users|Favorites|Total Visits|Date Created|Last Updated|Server Size|Genre|Title|Creator|gameID|Category|URL|Description
2022-02-22 09:29:01|161939|23669040|27.4B+|7/14/2017|2/21/2022|48|RPG|AdoptMe!ByDreamCraft|DreamCraft|920587237|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=920587237&Position=4&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.904Z|🏝️ Sandbox Island & Taxi update! 🏝️ 🧱 Lots of new furniture and building blocks! 🌴 GIANT sandbox island house for building! 🚕 New gamepass: New York and London Taxis! Raise and dress cute pets decorate your house and play with friends in the magical family-friendly world of Adopt Me! on Roblox! 🐶🏘️😻 🐾 New updates coming soon! 🐦 Check our Twitter for news and competitions! 🤩 New chances to win pets every week! 🐦 Follow @PlayAdoptMe on Twitter for updates! 🎥 Subscribe to our YouTube channel! Meet the founders! NewFissy - Tech Director Bethink - Creative Director 🔔🔔🔔 Make sure to hit the FOLLOW button to get notified when new updates drop! 🔔🔔🔔 Terms of Service Privacy Policy and Creative Attributions: https://devforum.roblox.com/t/credits/71812
2022-02-22 09:29:01|64985|14144301|7.5B+|1/18/2014|2/9/2022|12|Horror|MurderMystery2By@Nikilis|@Nikilis|142823291|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=142823291&Position=7&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.905Z|Can you solve the Mystery and survive each round? INNOCENTS: Run and hide from the Murderer. Use your detective skills to expose the Murderer. SHERIFF: Work with the Innocents; you are the only one with a weapon who can take down the Murderer. MURDERER: Eliminate EVERYONE. Dont get shot by the sheriff. Collect and trade hundreds of knives! Check out my profile for quick links to my pages! Like follow and subscribe for exclusive update news free knife codes and more!
2022-02-22 09:29:02|46297|2147391|466.7M+|1/20/2019|2/6/2022|16|Horror|3008[2.7]By@uglyburger0|@uglyburger0|2768379856|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=2768379856&Position=20&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.908Z|Version 2.7 Dont follow any links put in-game. They will scam you! Thumbnail by: @Plague_Dash -- SCP-3008 the infinite IKEA. Wander through the vast horror land of furniture located within SCP-3008-1. Build a base survive from employees. Stay alive.
2022-02-22 09:29:02|16539|2111107|1.5B+|6/5/2019|2/13/2022|30|All Genres|💘TowerDefenseSimulator💘ByParadoxumGames|Paradoxum Games|3260590327|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=3260590327&Position=27&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.909Z|In this world no one can survive alone. Team up with friends to fend off countless waves of zombies fight bosses earn coins level up and buy new towers! If youre feeling up for a challenge try taking on harder bosses on harder difficulties! 👥💵 Join the group for +$100 starting cash! https://www.roblox.com/groups/4914494 👍Thumbs up and favorite for more quality updates!🌟 🔨UPDATES🔨 💖 Valentines Season!! - special skins for Valentines Day 💪 Reworked Soldier and Sniper!! - New default skins + stats 🔧 Fixed hardcore reward data loss bug!!! 🏆 8th Annual Bloxy Award Winner
2022-02-22 09:29:03|181256|3227082|3.1B+|1/22/2021|2/12/2022|10|All Genres|[❤️Axolotls!]PetSimulatorX!ByBIGGamesSimulators|BIG Games Simulators|6284583030|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=6284583030&Position=1&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.902Z|👍 NEXT BIG CODE AT 2.5MM LIKES! ❤️💙 Use code 404roblox for x8 Triple Coins Boosts! (Thanks for 2MM 💝!) Pet Simulator X is the latest and greatest game in the Pet Simulator Series with tons of new features worlds to explore and hundreds of super cool pets! 💰 Collect coins to buy hundreds of eggs! 🥚 Hatch LEGENDARY pets like a Dragon or Unicorn! 🗺️ Unlock new worlds like the floating islands! ✔️ Collect and trade pets with other players! ✨ ENCHANT and UPGRADE pets or fuse them together! 😎 Collect HUNDREDS of unique pets! 🎁 Latest Update [2/12/22] - ❤️ Axolotls! - 🌊 Ocean World! - 🥚 Axolotl Eggs! - ❔ The Void - 🌀 Hacker Portal! - 🔥 Machines Uplift! - ✨ New Exclusive Egg! + TONS MORE! 🧡 Made with love by Preston 🔔 Follow for game updates! 🔔
2022-02-22 09:29:03|11260|127919|11.3M+|2/5/2022|2/22/2022|24|All Genres|PLSDONATE💸[NEW]By@haz3mn|@haz3mn|8737602449|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=8737602449&Position=31&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.909Z|💸 PLS DONATE is a game where you can claim stands and make it say anything you want! You can donate or make Robux by having clothing on sale. Your on sale clothing will automagically appear on your stand! ⚠️ Donations are done through clothing sales which can take up to a week to receive. The Robux shown in-game is the price at the time of sale. The Robux you receive may be less due to Roblox taxes. You can see your pending Robux here: https://www.roblox.com/transactions ⭐ Please consider liking and favoriting the game for more updates also join the Quataun group for future perks! 🐛 Please note the game is still in beta which means you might encounter some bugs while playing thank you for understanding! Designer & Programmer: @haz3mn @fewkz (roblox) Digital Distribution: Quataun (roblox group)
2022-02-22 09:29:03|9397|939734|385.0M+|6/3/2020|2/17/2022|1|Fighting|[❤️VALENTINES❤️]AUniversalTimeByUniverseTimeStudio|Universe Time Studio|5130598377|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=5130598377&Position=30&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.909Z|❗ Welcome to A Universal Time ❗ 🔮A Universal Time (AUT) is an action/adventure game inspired by many different popular shows games and animes. Most notably the Shōnen Jump Anthologys JoJos Bizarre Adventure. 📰 Current news: - NEW SPEC (MERO MERO) - NEW REWORKS (GOLD EXPERIENCE PLANET SHAPER) - NEW VALENTINES DAY EVENT 🔊Sounds are sourced from a majority of open libraries and our sound designers. These can be removed upon legitimate request.🔊
2022-02-22 09:29:04|52356|12216535|7.3B+|4/10/2017|2/22/2022|15|Adventure|Royale🏰HighBy@callmehbob|@callmehbob|735030788|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=735030788&Position=8&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.906Z|♡Happy Valentines Black History Month and Lunar New Year!♡ ✧~❄~✧~❄~✧ Welcome to Royale High your ever-growing dream world! ✧~♡~✧ ♡Use your Teleportation Sceptre to fast-travel across magical lands with secrets to explore & fun games to play! ♡Games earn you the valuable currency 💎Diamonds increases your level & challenges your knowledge and skills! ♡Spend your diamonds in the shop which sells special items during real-life seasons. ♡Dress your character to suit your mood & personality~ free makeup hairstyles & thousands of unique outfits for any occasion! ♡Level up at Royale High School by attending classes! The higher grades you receive the more rewards you earn! ♡Make sure to bring the right book to class from your locker and turn in your completed homework! ♡Try to balance your studies and socializing as many best friends have been made within these halls♡
2022-02-22 09:29:04|17668|1239684|940.1M+|2/2/2019|2/5/2022|16|RPG|YourBizarreAdventureByBizarreStudios®|Bizarre Studios®|2809202155|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=2809202155&Position=16&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.907Z|✨🏹『NEW UPDATE v0.9』 🏹✨ ➢ New trading system; Trade Stands! Trade Items! and multiple other QoL features ➢ 7 new Stand skins! ➢ 4 new Cosmetics! ➢ and more in game! Welcome to Your Bizarre Adventure an RPG-styled game that revolves around obtaining strong and unique spiritual abilities known as STANDS fighting gangs and more! Read the help section in-game! JOIN OUR COMMUNITYS SERVER LINK BELOW FOR CODES UPDATES ANNOUNCEMENTS AND MORE HELP! Give the game page a thumbs-up like and subscribe to our Youtube below for more codes: ➢ youtube.com/channel/UCwxB9DjiJKOcZbDPIvsCZBg?sub_confirmation=1 Disclaimers: ➢ You will be banned for any form of exploiting and there will be no appeals unless you have high quality video evidence that shows it was you getting falsely banned as it happened. It is highly suggested to use the applications Medal or Shadowplay to achieve this for your own safety. Arrivederci!
2022-02-22 09:29:05|26658|133897|38.8M+|12/25/2021|2/21/2022|12|All Genres|[🔮x2]AnimePunchingSimulatorByJustGames..|Just Games..|8357510970|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=8357510970&Position=18&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.907Z|Welcome to Anime Punching Simulator! 👍New Code at 100k Likes👍 ⌛ Use Code Release for 250 Energy! ⌛ Use Code 70KLIKES for Free Boost! ⚡Click to gain energy ⚡ 🔄 Rebirth to earn gems🔄 👊 Buy heroes with gems to become powerful! 👊 📋 Updates every week! Follow Us @AtanHeroX @AnimePunchJG Made by @AtanHero Anime Characters By @Bannn_17
2022-02-22 09:29:05|46679|5803078|2.2B+|11/2/2016|2/12/2022|7|Adventure|BuildABoatForTreasureByChillzStudios|Chillz Studios|537413528|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=537413528&Position=12&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.906Z|Build your ship and set sail for your adventure! Liked the game? Dont forget to leave a Thumbs Up(👍) and Favorite(🌟) . Thank you! Dont forget to check out our group! https://www.roblox.com/My/Groups.aspx?gid=2782840 Group Perks: ✨Member✨ --- 25% more gold! 💫Mega Member💫 --- 300% more health! --- 25% more gold! 🌟Royal Member🌟 --- +4 Barrels Of TNT! --- 300% more health! --- 25% more gold!
2022-02-22 09:29:06|28004|2214149|1.4B+|1/20/2020|2/19/2022|5|All Genres|ShindoLifeByRELLWorld|RELL World|4616652839|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=4616652839&Position=13&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.906Z|🔑 Welcome to Shindo Life 🔷 Explore vast worlds play many game modes and mini-games. Battle various types of creatures known as spirits. Unlock and randomize many abilities and awakens. Battle bosses for their unique Bloodlines and Abilities. Rank up and further your skill under mentors. Your Shindo adventure awaits! 🔑 Join for 2XP: 🔷 https://www.roblox.com/groups/1226491/RW
2022-02-22 09:29:06|44929|1674879|3.3B+|5/7/2020|2/22/2022|60|All Genres|[UPDATE]AllStarTowerDefenseByTopDownGames|Top Down Games|4996049426|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=4996049426&Position=10&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.906Z|⚔️Use your units to fend off waves of enemies ⚡Each Unit has Unique Cool Abilities ⬆️Upgrade your Troops During battle to unlock new attacks ⛩️Summon from the Gate and unlock New Units to use them in battles 🌀Team up with your friends to take on story mode or the infinity tower 🕒New things appear in the Summon Gate and Emote Shop every hour Collect them all! 📝Join the Social Links to Gain Codes/Announcement/Updates ❤️Like the Game for More Codes! 🔨More updates upcoming!
2022-02-22 09:29:07|21888|843703|286.8M+|4/3/2020|2/5/2022|1|Fighting|Demonfall[2.9!]ByFireheartStudio|Fireheart Studio|4855457388|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=4855457388&Position=15&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.906Z|Demonfall is based on the popular series Demon Slayer. Ascend the hill with the power of humanity on your shoulder and fight for survival along with your comrades; or head down the ravine to lose ones humanity and live as a demon with unholy powers. Fight explore learn grow eat all common necessities and virtues of one despite your path in this world its the survival of the fittest. [Controls] R - Unsheathe Sword Tab - Menu Toggle Tab --> Configuration = Reset M - Meditate [Skill Tree] H - Toggle Emotes Sprint + M1 - Lunge Block + M1 - Shoulder Bash C - Rush G - Breathe Q - Dash F - Block
2022-02-22 09:29:07|15906|9047864|3.7B+|8/18/2015|2/21/2022|16|FPS|ArsenalByROLVeCommunity|ROLVe Community|286090429|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=286090429&Position=24&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.908Z|Race to the top through a massive Arsenal of weapons! Conquer the day in fast paced arcade gameplay from bazookas to spell books each weapon will keep you guessing on whats next! Earn BattleBucks and trick out your game with a huge cast of characters melees kill effects skins and more! Join the ROLVe Community group for an in-game chat tag and 25% more BattleBucks and XP!
2022-02-22 09:29:08|7273|247853|77.2M+|10/12/2019|2/22/2022|15|RPG|DeepwokenByVowsbytheSea|Vows by the Sea|4111023553|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=4111023553&Position=32&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.910Z|>> Deepwoken is a difficult game with permanent character loss. Losing characters is a part of the game that should be expected. << Seek out your destiny upon an unforgiving sea and unravel the mysteries of a dying world. Discover and modify powerful abilities find unique strengths and develop your character into a force to be reckoned with. Desperately try to escape the horrors that lurk just beneath the waves. Whatever you do its your story to be told. Developed by: Ragoozer Arch_Mage Melon_Sensei Dexerius Grimmkind Built by: Zartania melonbeard Composed by: Naktigonis Contributions from: Snakeworl (Scripting) yayafino (Scripting) iVenatrix (Scripting) EstheKing (Modelling) HorrorTM (Modelling) minkle (Modelling) Konrekhelm (Modelling) Zintenka (Modelling) Chicken_Man (Ships) KAHAEL (Clothing) Rengi (Clothing) The full list of contributors is listed in the Credits screen check out their work!
2022-02-22 09:29:08|23524|165194|32.4M+|1/16/2022|2/22/2022|12|Adventure|[UPD4.1+2x📦📕]WeaponFightingSimulatorByLightningDragonStudio|Lightning Dragon Studio|8554378337|Popular|https://www.roblox.com/games/refer?IsLargeGameTile=false&PageId=f3dcc18f-a83b-4146-b102-d27bf77d8dcf&PageType=Games&PlaceId=8554378337&Position=25&SortName=Popular&SortPosition=3&LocalTimestamp=2022-02-22T15:28:52.908Z|🥋 Welcome to Weapon Fighting Simulator 🥋 Weapon Fighting Simulator is a simulator game where you fight against enemies with weapons spells and become the strongest martial fighter of all times! 🗡️ - Unlock new and powerful weapons! 🧙‍♂️ - Unlock new spells to aid you in battle! 🗺️ - Discover new worlds with different enemies and BOSS! 🔥 UPDATE [4.1]: - Reduced the amount of Mythical and Eternal enchantment required. When you rejoin the game the over-consumed weapons will be refunded. - Adjusts on the enchanting UI. - Fixed some bugs. + MORE CHECK OUT NOW! 🌐 - Join the Lightning Dragon Studios group for a free Fan Nametag above your name! 👍 - Thumbs up and favorite for more updates! 🚀 RELEASE CODES: weaponfighting welcome goodluck happyday 🎁 NEW UPDATE CODES: trade enchant 👍 75K LIKES CODE: likes75k 💖 NEW CODE AT 100K LIKES.
